Номер,Дата,Модель,Тип,Цена,Цвет,Тип оплаты,Растаможка,Автосалон
1,2024-04-15,BYD e2,Электромобиль,236600000,Серебристый,Полная оплата,С растаможкой,BYD Megawatt Navoi
2,2024-08-19,BYD e2,Электромобиль,236600000,Синий,Полная оплата,С растаможкой,BYD Megawatt Navoi
3,2024-09-18,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Синий,Полная оплата,С растаможкой,AVTOSALON BYD
4,2024-01-08,BYD e2,Электромобиль,236600000,Серебристый,Кредит,Без растаможки,BYD Megawatt Navoi
5,2024-05-11,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Серебристый,Полная оплата,С растаможкой,BYD Sergeli
6,2024-06-17,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Красный,Кредит,С растаможкой,BYD Megawatt Suntown
7,2024-10-28,BYD Seagull,Электромобиль,208300000,Красный,Полная оплата,Без растаможки,BYD Yashnobod
8,2024-12-14,BYD Seagull,Электромобиль,208300000,Черный,Кредит,Без растаможки,BYD ROHAT
9,2024-07-26,BYD Chazor 55KM Luxe,Гибрид,279400500,Белый,Кредит,Без растаможки,BYD Megawatt Navoi
10,2024-04-13,BYD e2,Электромобиль,236600000,Красный,Кредит,Без растаможки,BYD ROHAT
11,2024-12-01,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Черный,Полная оплата,С растаможкой,BYD Yakkasaray
12,2024-01-06,BYD Han,Электромобиль,613581000,Зеленый,Полная оплата,С растаможкой,BYD Yakkasaray
13,2024-06-28,BYD Chazor 55KM Luxe,Гибрид,279400500,Красный,Кредит,Без растаможки,BYD Megawatt Navoi
14,2024-05-26,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Синий,Полная оплата,Без растаможки,BYD Oloy
15,2024-06-25,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Зеленый,Полная оплата,С растаможкой,BYD Yakkasaray
16,2024-10-03,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Серебристый,Полная оплата,С растаможкой,BYD KELES
17,2024-10-29,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Белый,Полная оплата,С растаможкой,BYD ROHAT
18,2024-11-02,BYD e2,Электромобиль,236600000,Зеленый,Полная оплата,Без растаможки,BYD Yakkasaray
19,2024-01-22,BYD Chazor 55KM Luxe,Гибрид,279400500,Белый,Кредит,Без растаможки,BYD ROHAT
20,2024-12-25,BYD Seagull,Электромобиль,208300000,Черный,Кредит,С растаможкой,AVTOSALON BYD
21,2024-02-22,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Белый,Кредит,Без растаможки,BYD Sergeli
22,2024-06-04,BYD Seagull,Электромобиль,208300000,Черный,Кредит,Без растаможки,BYD Sergeli
23,2024-05-08,BYD Yuan Up,Электромобиль,266700000,Серебристый,Кредит,Без растаможки,BYD KELES
24,2024-11-05,BYD Yuan Up,Электромобиль,266700000,Синий,Кредит,Без растаможки,BYD Yakkasaray
25,2024-08-26,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Зеленый,Полная оплата,С растаможкой,BYD Qibray
26,2024-06-11,BYD Seagull,Электромобиль,208300000,Зеленый,Полная оплата,Без растаможки,BYD Yakkasaray
27,2024-10-23,BYD Yuan Up,Электромобиль,266700000,Красный,Полная оплата,С растаможкой,BYD Service
28,2024-09-19,BYD Seagull,Электромобиль,208300000,Красный,Кредит,С растаможкой,BYD KELES
29,2024-09-15,BYD Seagull,Электромобиль,208300000,Черный,Полная оплата,С растаможкой,BYD KELES
30,2024-05-18,BYD Yuan Up,Электромобиль,266700000,Синий,Полная оплата,С растаможкой,BYD Chigatoy
