Full Name,Short Name,Date,Sell Price,Buy Price,Number of Purchases,Number of Sales
Bitcoin,BTC,2020-01-27 10:35:47.337197,81249.21,79792.14,265,869
Ethereum,ETH,2020-01-27 10:35:47.337197,14606.47,14200.99,334,191
Ripple,XRP,2020-01-27 10:35:47.337197,32123.59,30804.09,642,104
Litecoin,LTC,2020-01-27 10:35:47.337197,68571.49,65147.06,913,552
Cardano,ADA,2020-01-27 10:35:47.337197,24384.14,23561.46,906,249
Polkadot,DOT,2020-01-27 10:35:47.337197,74019.4,70526.16,873,384
Binance Coin,BNB,2020-01-27 10:35:47.337197,9002.27,8703.23,716,419
Dogecoin,DOGE,2020-01-27 10:35:47.337197,7542.66,7222.38,732,861
Bitcoin,BTC,2020-01-28 10:35:47.337197,55154.2,52529.32,738,374
Ethereum,ETH,2020-01-28 10:35:47.337197,14490.95,13793.43,187,593
Ripple,XRP,2020-01-28 10:35:47.337197,77036.67,75306.3,664,604
Litecoin,LTC,2020-01-28 10:35:47.337197,32620.46,31641.42,725,872
Cardano,ADA,2020-01-28 10:35:47.337197,31691.69,30310.48,641,814
Polkadot,DOT,2020-01-28 10:35:47.337197,28305.99,27502.86,465,243
Binance Coin,BNB,2020-01-28 10:35:47.337197,89107.22,86943.8,982,591
Dogecoin,DOGE,2020-01-28 10:35:47.337197,45986.85,44288.77,600,893
Bitcoin,BTC,2020-01-29 10:35:47.337197,33377.62,31984.26,966,880
Ethereum,ETH,2020-01-29 10:35:47.337197,105631.96,100712.96,750,393
Ripple,XRP,2020-01-29 10:35:47.337197,83394.82,79638.83,770,177
Litecoin,LTC,2020-01-29 10:35:47.337197,42917.17,41995.8,251,287
Cardano,ADA,2020-01-29 10:35:47.337197,37453.51,37036.78,120,179
Polkadot,DOT,2020-01-29 10:35:47.337197,69287.38,67229.36,836,656
Binance Coin,BNB,2020-01-29 10:35:47.337197,25611.35,25048.77,165,823
Dogecoin,DOGE,2020-01-29 10:35:47.337197,29726.5,28718.85,584,416
Bitcoin,BTC,2020-01-30 10:35:47.337197,1086.32,1032.63,956,141
Ethereum,ETH,2020-01-30 10:35:47.337197,13777.04,13573.11,196,300
